,msno,city,bd,gender,registered_via,is_churn,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,is_cancel
0,j7vWlFtYI4gVJ5YaaloFJDq/Nymfr6imtGAY/XqY7t4=,13,32,female,3,0,8.285714285714286,2.142857142857143,1.8571428571428572,1.8928571428571428,54.5,46.535714285714285,14990.851035714286,39.0,30.0,149.0,149.0,1.0,0.0
1,bereSdMdsEUu8P02oEu6IY3TtixUd/Rfpb3qfTq5QOY=,14,25,female,9,0,3.36,0.52,0.36,0.48,35.48,26.28,9022.11612,37.0,30.0,149.0,149.0,1.0,0.0
2,vWhhWGDpaf3ZqpuStkYYOmotOCO4ZqHDgHuVjm+9YKk=,13,22,male,3,0,2.2222222222222223,0.9629629629629629,0.5925925925925926,0.9629629629629629,46.111111111111114,41.55555555555556,11588.505444444445,29.0,30.0,180.0,180.0,1.0,0.0
3,skzGWEqeMy2SecZoiVFIh0zWlhYkosUXxa8o9/MIyGE=,1,0,male,3,0,4.44,0.92,0.76,0.32,17.52,22.48,4753.00248,29.0,30.0,180.0,180.0,1.0,0.0
4,CbocmbdbmwZ/nG0alVONBlbfGRI9Np61OC30KbeEfJU=,22,25,male,3,0,4.724137931034483,2.206896551724138,1.1379310344827587,1.5862068965517242,17.96551724137931,21.620689655172413,5196.330862068966,30.0,30.0,149.0,149.0,1.0,0.0
5,z4HDOa8RJjCO2ZxD51TLrt0AoDxy5f9XnES4X2qqeTo=,13,27,male,9,0,5.923076923076923,1.2307692307692308,1.3461538461538463,1.0,24.96153846153846,30.846153846153847,6635.674115384615,34.0,30.0,149.0,149.0,1.0,0.0
6,JPvltKuRBZ/AYvXmDunQtM9jDb1vHSYWFNaIIBdQOA8=,5,32,male,9,0,2.75,0.5,0.125,0.25,14.0,12.5,3225.9390000000003,36.0,30.0,180.0,180.0,1.0,0.0
7,E7jDHaZfYnoQJXDvk2mTHgEMWkIwHag+qT0GpmG1l5E=,13,30,female,9,0,0.64,0.44,0.2,0.32,12.12,12.44,3207.3197600000003,40.0,30.0,149.0,149.0,1.0,0.0
8,XAKkZWSLdpWAAz2nMYl20PGdZySjWfEABTKqxQZPWEg=,8,40,female,7,0,5.7,0.75,0.65,1.1,21.8,23.1,5577.451,41.0,30.0,99.0,99.0,1.0,0.0
9,CDIDrGV9CU6s3+sQDW26Uod+6OZw1k1skWRR+b2ALSY=,13,29,male,7,0,2.875,0.625,0.3125,0.375,14.75,15.125,3857.73875,41.0,30.0,149.0,149.0,1.0,0.0
10,r8dYFGhYOwmVINp5Ppwj8rCdtq0oOfga4w2aLXl3MhA=,6,35,male,3,0,1.0,1.0,0.0,0.0,0.0,2.0,123.22,39.0,30.0,149.0,149.0,1.0,0.0
11,hhwx2cZGcPSN0fK6QqbKd5dPOm/WSUNFbEzxVZrt4lg=,22,25,male,9,0,0.0,0.0,0.0,0.5,14.5,15.0,3738.5185,30.0,30.0,100.0,100.0,1.0,0.0
12,pKiEcHXHQTXFfB3Cw6KwdKWeL6lIrjC424nXbSScE6o=,3,31,male,9,0,5.529411764705882,0.47058823529411764,0.4117647058823529,0.35294117647058826,7.235294117647059,13.176470588235293,2131.2915294117647,34.0,30.0,149.0,149.0,1.0,0.0
13,t0zgcWT8K7EcIdLcRylV3HYuw3cjKGhlUXKZ86X7CVM=,9,22,female,7,0,3.5384615384615383,0.8461538461538461,0.5769230769230769,1.0769230769230769,22.346153846153847,24.53846153846154,5581.431769230769,41.0,30.0,129.0,129.0,1.0,0.0
