,msno,city,bd,gender,registered_via,total_transactions,total_activity,time_on_platform_months,is_churn,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,is_cancel,discount,is_discount,amt_per_day,membership_duration
0,MhdcuDCdotOcBHILuXSkXy9XDls0DEXdXXZJL9SCOig=,9,28,female,9,1.0,21.0,152,0,5.285714285714286,1.0,0.7142857142857143,1.0476190476190477,12.80952380952381,9.904761904761905,3526.1964285714284,31.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
1,aXSvQJPCxtCnyte5PsCp1vsTbEJUFRqRJWo5hoZwwZE=,10,17,female,9,1.0,30.0,16,0,14.666666666666666,6.566666666666666,3.466666666666667,2.533333333333333,26.566666666666666,39.4,7551.235199999997,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
2,LYFouVJ6ZW04vOFBFE0lK1YLIjZh/KiMYaC26NlCsMI=,15,23,female,3,1.0,29.0,50,0,17.517241379310345,2.2413793103448274,1.1724137931034482,1.3793103448275863,48.275862068965516,53.96551724137931,12071.77420689655,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,30.0
3,8egXDUwo4/JNATDiTG8up/488e3pqcr0IuETIn9YzwM=,13,28,male,9,1.0,8.0,83,0,2.375,0.75,0.375,0.5,11.875,12.125,3134.1375,31.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
4,+pD/roeHBNarktkCoINadqAXeKwohmQAbroyQkOQx34=,5,17,male,3,2.0,28.0,61,0,2.9285714285714284,1.4642857142857142,1.1071428571428572,0.8571428571428571,46.357142857142854,38.92857142857143,10937.940535714286,21.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,60.5
5,CKOG6lNwQmRb+frRpfwpFd58FgyFisGcDNt7omFjA70=,15,24,female,3,2.0,22.0,52,0,4.363636363636363,6.363636363636363,2.590909090909091,1.1363636363636365,32.40909090909091,36.40909090909091,9134.332181818183,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,47.5
6,OIbNIHds3k4x9r3q36tmignyho2qpcsD/FFHyraQT54=,6,65,female,9,2.0,16.0,43,0,3.1875,0.9375,0.875,3.25,14.875,10.125,4647.962874999999,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.5
7,T9pUhhofjldMm+qPiEsfvrqjtffssVFXEYKCduWznP8=,21,33,male,7,1.0,10.0,15,0,3.7,0.4,0.1,0.3,40.4,22.7,9178.9728,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,31.0
8,rl5VgDyMmQPFv/mVZhSXgF08+qdLEiucwLfH25aDmn0=,13,39,female,7,1.0,25.0,76,0,1.4,1.32,1.28,2.24,75.04,77.04,19916.338719999996,41.0,30.0,129.0,129.0,1.0,0.0,0.0,0.0,4.3,32.0
9,k2Q9D/efeUux2drbfzvbjlFCO0G5WQ4PNwFOuIZ97uQ=,11,33,female,9,1.0,10.0,97,0,3.3,0.6,0.8,0.3,21.0,14.6,5406.3604,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,33.0
10,Ewa7hzZeDEm7RYd6Iw9UGh1/JiOwVWfK98oYxosBEUk=,6,26,male,4,1.0,8.0,11,0,2.375,0.25,0.375,0.125,13.375,15.75,3399.95425,36.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
11,LqIHnGaCYtIh0ztD9O9fZoBPQcNuTzmKc0y1Wi/p/ds=,13,32,male,9,2.0,1.0,48,0,5.0,0.0,1.0,0.0,0.0,4.0,290.18,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.5
12,kYaQ3QFlsIisI6fJ4LqoIWZu4hZ3ZWjKVmV398pq5Yw=,5,30,male,9,1.0,12.0,76,0,10.5,1.0,0.75,0.3333333333333333,22.333333333333332,27.25,6351.524666666665,31.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
13,4qdC7y7O6/JWAZYqqeJjMBPu0a3ostbEBeU6/4SjY+A=,6,25,male,3,1.0,26.0,50,0,6.846153846153846,2.769230769230769,1.0769230769230769,2.730769230769231,9.192307692307692,16.692307692307693,3377.644615384615,29.0,30.0,180.0,180.0,1.0,0.0,0.0,0.0,6.0,30.0
14,7AsNg/hgHj+fgXjTPfy35lm61slocP46IfVhwhfkcns=,15,27,male,7,1.0,31.0,70,0,2.2580645161290325,0.45161290322580644,0.1935483870967742,0.8387096774193549,50.58064516129032,47.32258064516129,13045.998451612902,33.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
15,vNqiwH/0NCFAW0ETltc0MWRnHoX9BnZ6GXjJk0GlRyc=,15,19,male,9,2.0,29.0,128,0,5.931034482758621,0.7241379310344828,0.5517241379310345,0.6896551724137931,22.862068965517242,29.551724137931036,6139.864689655173,27.5,45.0,74.5,74.5,0.0,0.0,0.0,0.0,2.4833333333333334,16.5
16,k6gINTQVLByz+oWLyb9OX+sxpxIbFiNJzCe4KcNi9+A=,6,23,female,3,1.0,3.0,19,0,2.6666666666666665,0.3333333333333333,1.0,2.6666666666666665,86.66666666666667,75.0,18941.301333333333,40.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
17,shJWHYK3izWMSZDZRIdwuVWRt4nZXlIMSEFfi0MxURs=,13,29,male,9,2.0,31.0,43,0,5.032258064516129,2.0,1.4838709677419355,1.6774193548387097,234.06451612903226,138.1290322580645,54864.26874193549,39.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,57.5
18,Nufv9LuuQsP7aKJ2EMYcUEnb9NLqjloGybyGDKMNzq0=,15,23,female,7,1.0,31.0,33,0,7.0,1.1290322580645162,0.9032258064516129,1.064516129032258,39.54838709677419,38.58064516129032,10373.732096774196,41.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,30.0
19,ab1+3MjYCLqLykrAgZMzRBBZzWpNpp7TwfxUWihzYyc=,15,22,female,3,1.0,31.0,50,1,5.290322580645161,2.4838709677419355,0.7096774193548387,1.1612903225806452,56.193548387096776,60.45161290322581,15072.782741935484,38.0,30.0,149.0,149.0,0.0,0.0,0.0,0.0,4.966666666666667,31.0
20,sYBFDpSr3Dr9bwwbH2iRBthc577iOfAt1oYixvZVlcc=,5,25,male,7,1.0,27.0,35,0,7.111111111111111,1.4444444444444444,0.7037037037037037,0.7777777777777778,9.296296296296296,16.14814814814815,2734.0801851851857,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,30.0
21,hC279FiuwZxtYl/BR1AQh52N2G1NeJcuGQbZx/9Z07o=,14,30,female,7,1.0,13.0,70,0,0.38461538461538464,0.0,0.0,0.0,18.846153846153847,1.1538461538461537,3441.151769230769,41.0,30.0,99.0,99.0,1.0,0.0,0.0,0.0,3.3,30.0
22,DjfH8d12sVhAQGEqOuCdSZeWDylkrGZvC4acibDz0EM=,9,30,male,7,1.0,22.0,64,0,2.6363636363636362,0.2727272727272727,0.36363636363636365,0.4090909090909091,54.95454545454545,25.40909090909091,13524.464318181823,41.0,30.0,149.0,149.0,1.0,0.0,0.0,0.0,4.966666666666667,32.0
