,city,bd,total_transactions,total_activity,time_on_platform_months,num_25,num_50,num_75,num_985,num_unq,total_secs,payment_method_id,payment_plan_days,is_auto_renew,is_cancel,discount,amt_per_day,membership_duration,gender_male,registered_via_13,registered_via_3,registered_via_4,registered_via_7,registered_via_9,is_churn
2532,0.4019463,-0.13899483,0.7344893,0.5861445,0.7892556,0.2452478,-0.16469692,-0.07144427,-0.16671593,-0.3772958,-0.45936522,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.040829603,0.0,0.0,0.0,0.0,0.0,1.0,0
2262,1.9275421,-0.019304836,-0.30047292,0.47937527,-1.349978,-0.25689545,-0.384995,-0.3441469,-0.19769073,-0.017494485,0.63230807,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,0.0,0.0,0.0,1.0,0.0,0.0,0
441,0.4019463,0.18017848,0.7344893,0.7996829,-0.0129570095,0.14248252,2.3218713,2.7441518,0.61839586,0.09834878,0.43099463,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.057837643,1.0,0.0,0.0,0.0,0.0,1.0,0
2691,0.4019463,-0.2586848,-0.30047292,0.6929137,0.15720929,0.027850498,-0.57964516,-0.78789365,0.056822434,-0.66793776,-0.82905245,0.1889407,-0.17525288,-2.247427,-0.16804218,-0.07770046,0.12058189,-0.22279501,1.0,0.0,0.0,0.0,0.0,1.0,0
2831,-0.9541388,-0.0592015,0.7344893,-1.0153939,1.0566598,-0.4661218,-0.41476506,-0.8266207,-0.09913458,-0.6171633,-0.49517718,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.19390196,1.0,0.0,0.0,0.0,0.0,1.0,0
1218,1.9275421,-0.13899483,-0.30047292,0.9064522,0.7406366,-0.39484692,-0.17235209,-0.6737873,-0.08706647,-0.38111693,-0.46004346,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,0.0,0.0,0.0,0.0,0.0,1.0,0
1645,0.4019463,-0.1788915,-0.30047292,-0.6950862,-0.32898015,0.18879385,-0.09874485,-0.59425867,-0.37639144,0.31270504,0.22494525,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,1.0,0.0,1.0,0.0,0.0,0.0,0
1287,-0.78462815,0.10038515,-0.30047292,-1.4424708,-1.3013589,-0.7397256,-0.7323119,-0.23926124,-0.45581397,-1.0385134,-0.89717245,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.18877892,0.0,0.0,0.0,1.0,0.0,0.0,0
685,0.23243569,-1.1763082,-0.30047292,1.1199906,0.18151876,-0.5251344,-0.5139984,-0.28121552,-0.23054278,-0.870261,0.8556647,-0.041637596,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,0.0,0.0,0.0,0.0,0.0,1.0,0
2229,0.4019463,0.29986846,-0.30047292,-0.2680093,0.35168508,-0.54091316,-0.48130977,-0.78219855,-0.48342076,-0.4349533,-0.37390572,-0.041637596,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.22279501,0.0,0.0,0.0,0.0,0.0,1.0,0
281,0.23243569,-0.2586848,-0.30047292,0.47937527,-1.1555022,0.68864673,-0.31056997,0.12783833,-0.009964744,-0.4165547,-0.55186594,-0.9639508,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,1.0,0.0,0.0,0.0,0.0,1.0,0
908,1.9275421,-0.4980648,-0.30047292,-0.16124007,-1.0339547,3.1318562,0.8223445,0.87951857,-0.017786665,0.16945265,-0.4518663,0.1889407,-0.17525288,-2.247427,-0.16804218,-0.07770046,0.12058189,-0.23980305,0.0,0.0,1.0,0.0,0.0,0.0,0
2800,0.57145697,0.45945516,0.7344893,-1.54924,0.05997141,-0.12814073,-0.355225,-0.5748952,-0.21177016,-0.30654353,-0.033924688,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.1258698,1.0,0.0,0.0,0.0,0.0,1.0,0
1529,0.4019463,-0.3783748,0.7344893,0.37260604,-1.2041211,-0.053966884,-0.2620319,-0.093333475,-0.084442995,-0.36544123,-0.4378529,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.17689392,1.0,0.0,0.0,0.0,1.0,0.0,0
2152,-0.9541388,0.6589384,-0.30047292,1.2267598,1.4213018,-0.65665805,-0.71630657,-0.9159426,-0.47700885,-0.5289317,-0.61563414,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.17177089,0.0,0.0,0.0,0.0,0.0,1.0,0
1893,1.2494996,-0.0592015,0.7344893,-1.2289324,-0.08588542,-0.17642379,0.2104053,-0.13437566,-0.19769073,-0.47587445,0.8603975,0.419519,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.10886176,0.0,0.0,1.0,0.0,0.0,0.0,0
529,1.9275421,-0.019304836,-0.30047292,-1.4424708,-0.8151696,-0.6056061,-0.63307846,-0.86857486,-0.17422497,-0.44891092,-0.4659803,0.8806756,-0.17525288,0.44980666,-0.16804218,-0.07770046,-2.0055468,-0.22279501,1.0,0.0,0.0,0.0,1.0,0.0,0
661,-0.78462815,0.45945516,0.7344893,-0.588317,1.1782072,-0.6707498,-0.5338451,-0.80864024,-0.10717999,-0.80637026,-0.6414905,0.6500973,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,0.27894217,0.0,0.0,0.0,0.0,0.0,1.0,1
2409,-1.6321814,-0.13899483,-0.30047292,0.7996829,-1.3742874,0.6133909,-0.34640425,-0.61218786,-0.2368003,-0.28513244,-0.62305796,-0.27221587,-0.17525288,-2.247427,-0.16804218,-0.07770046,1.4387815,-0.20578697,0.0,0.0,1.0,0.0,0.0,0.0,0
1954,-0.27609622,-0.4980648,0.7344893,1.2267598,-1.1068832,-0.3970719,-0.3129708,-0.10392503,-0.09550118,1.1744674,0.93561995,-1.6556858,-0.17525288,0.44980666,-0.16804218,-0.07770046,-1.9630244,0.2619341,1.0,0.0,0.0,1.0,0.0,0.0,1
890,-1.1236495,-0.0592015,-0.30047292,-1.54924,-0.88809794,-0.28908414,-0.59338516,-0.8266207,-0.3244058,-0.7379599,-0.812977,-0.27221587,-0.17525288,0.44980666,-0.16804218,-0.07770046,1.4387815,-0.23980305,0.0,0.0,1.0,0.0,0.0,0.0,0
289,0.57145697,0.8983184,-0.30047292,-1.7627784,0.4975419,-0.4178388,-0.8315453,-1.0783461,-0.54967695,-1.0313231,-0.9148027,0.8806756,-0.17525288,0.44980666,-0.16804218,-0.07770046,-2.0055468,-0.22279501,0.0,0.0,0.0,0.0,1.0,0.0,0
785,0.57145697,0.060488492,-0.30047292,-1.54924,1.7859439,-0.4178388,-0.7124652,-0.5748952,-0.54967695,-1.0140665,-0.9730453,-0.7333725,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,1.0,0.0,0.0,0.0,0.0,1.0,0
2179,-1.6321814,-0.3783748,-0.30047292,0.7996829,-1.349978,1.0664166,1.1090188,1.7652192,0.80612195,0.1350991,-0.075138055,-0.27221587,-0.17525288,0.44980666,-0.16804218,-0.07770046,1.4387815,-0.23980305,0.0,0.0,1.0,0.0,0.0,0.0,0
2652,-0.9541388,-0.019304836,-0.30047292,0.5861445,-0.0129570095,0.26456097,0.19254331,1.1368378,0.576679,0.0748286,-0.20220478,-3.269734,-0.17525288,0.44980666,-0.16804218,-0.07770046,0.12058189,-0.23980305,0.0,0.0,0.0,0.0,0.0,1.0,0
408,0.7409676,-0.41827145,0.7344893,1.0132214,1.6157776,0.053891733,-0.40039334,-0.38393107,-0.16127835,0.07102024,-0.19449665,-2.2321315,0.16554376,-2.247427,-0.16804218,-0.07770046,-3.0473497,-0.46941158,1.0,0.0,0.0,0.0,0.0,1.0,0
