,city,bd,total_transactions,total_activity,time_on_platform_months,num_25,num_50,num_75,num_985,num_unq,total_secs,payment_method_id,payment_plan_days,is_auto_renew,is_cancel,gender_male,registered_via_13,registered_via_3,registered_via_4,registered_via_7,registered_via_9,is_churn
1884,-1.1320078,-0.36437348,-0.32982343,-0.99751794,-0.7765127,-0.6473659,-0.67190295,-0.80524236,-0.3177499,-0.61281013,-0.14526832,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2569,0.7267991,0.500228,-0.32982343,0.5333435,-0.19260234,-0.12823236,-0.30065155,-0.49423137,-0.30701852,-0.20696181,-0.23112385,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1999,0.38883418,0.6923616,-0.32982343,-2.0909903,1.778095,-0.8169322,-0.76858294,-0.8967162,-0.7201757,-1.1960652,-0.96439695,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1235,-0.79404294,-0.5565071,-0.32982343,0.5333435,0.026364045,1.3983855,-0.08795546,-0.09174653,-0.070928745,0.17976864,-0.09075868,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
1014,-1.3009903,0.5962948,-0.32982343,-0.77882344,0.391308,-0.55204767,-0.3186489,-0.5871125,-0.43641388,-0.46263444,-0.45085657,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
1961,0.38883418,-0.17223984,-0.32982343,-0.8881707,-1.0684679,-0.12344972,0.11765078,-0.22590813,-0.35128537,-0.2604269,-0.3968599,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,1.0,0.0,0.0,0
2120,-0.9630254,-0.4604403,-0.32982343,1.0800797,-0.5818759,0.9335131,0.4898689,0.5455211,0.6324221,0.24155049,0.070421845,-1.3965569,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2343,0.38883418,-0.07617301,-0.32982343,-1.1068652,0.6589336,0.57481533,0.029027415,0.31073833,1.1242758,1.1252089,0.72528523,-1.3965569,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1460,-0.9630254,2.5176313,-0.32982343,1.1894269,-0.92249024,-0.20136042,-0.06531358,0.82358193,0.5649905,-0.42139694,-0.013703864,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
2035,0.5578166,1.1726958,-0.32982343,-2.0909903,1.3644919,0.043942574,0.29489756,-0.8967162,0.017604932,-0.8841858,-0.95290554,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1867,-0.9630254,-0.26830664,-0.32982343,0.86138517,-1.2144454,-0.67857736,-0.4647314,-0.21392946,-0.24588814,-0.986024,-0.7096095,0.6913177,-0.15999371,0.44996032,-0.15310897,1.0,0.0,1.0,0.0,0.0,0.0,0
406,0.38883418,0.8844952,-0.32982343,0.09595449,0.3183192,-0.4753152,-0.41408947,-0.41756758,-0.43911636,-0.47471142,-0.32150093,-2.324501,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
170,-1.1320078,0.98056203,0.93772113,0.09595449,1.4861399,-0.66662073,-0.31280562,-0.5133973,-0.33371913,-1.0475512,0.7087205,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
1352,-1.1320078,-0.07617301,-0.32982343,0.5333435,-0.6305351,0.5145541,1.1882212,0.95471406,0.28320596,0.23323381,-0.18695065,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
2809,1.064764,0.21202748,0.93772113,0.31464896,1.2185143,-0.57364154,-0.14436617,-0.15299423,-0.17485957,0.5977258,0.9133867,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2877,-0.79404294,0.5962948,-0.32982343,-0.6694762,1.3888216,0.8638233,-0.6546387,-0.7529716,-0.14049092,-0.49274522,-0.8383352,-0.004640482,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2002,0.5578166,1.7490966,-0.32982343,0.4239962,1.8267542,-0.13540633,-0.480557,-0.39361015,-0.53573054,1.4771873,1.121779,-0.004640482,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
441,-0.9630254,0.40416113,-0.32982343,-0.99751794,-0.24126153,0.39611858,-0.3818628,-0.16492558,-0.18360794,-0.5399033,-0.67960185,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
1494,0.8957815,-0.4604403,-0.32982343,1.1894269,1.8510839,0.2475904,-0.21968983,0.2717881,0.4459937,1.8810495,1.2945446,-0.70059866,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1555,-1.1320078,0.8844952,-0.32982343,0.75203794,1.0238776,0.5434625,0.019180348,0.4076327,0.18155617,0.57620215,0.51546025,0.6913177,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,0
1051,-0.9630254,0.21202748,-0.32982343,-1.8722957,1.4131511,-0.29084206,-0.76858294,-0.56131214,-0.22832192,-0.8099288,-0.67619574,-0.70059866,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2902,1.7406938,2.4215646,-0.32982343,-0.77882344,-0.31425032,-0.77278477,-0.6458737,-0.5871125,-0.6634233,-0.5071886,-0.40590212,-3.2524452,-0.15999371,0.44996032,-0.15310897,0.0,0.0,1.0,0.0,0.0,0.0,0
1089,-0.9630254,1.1726958,-0.32982343,1.0800797,1.0238776,-0.6112788,-0.55588686,-0.66193336,-0.4496561,3.6915312,3.084686,-1.1645708,8.121886,-2.2377,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,1
685,0.38883418,2.3254976,0.93772113,-0.6694762,-1.360423,-0.74519265,-0.42674997,-0.7529716,-0.61477846,0.1214663,0.08752907,0.4593316,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,1.0,0.0,0.0,0
2759,1.064764,-0.4604403,-0.32982343,-1.3255597,0.6832632,-0.70932287,-0.23684272,-0.51938665,-0.6279531,-1.0234177,-0.8428898,-3.9484031,1.3656158,-2.2377,-0.15310897,0.0,0.0,0.0,0.0,0.0,1.0,1
281,0.38883418,-0.5565071,-0.32982343,0.20530173,0.5859448,-0.56258285,0.2465575,-0.07345179,0.2858888,-0.16726807,-0.30864066,-0.004640482,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,0.0,1.0,0
2756,0.7267991,-0.65257394,-0.32982343,0.9707324,-0.5332167,0.26658258,0.111538865,0.35237458,0.39921555,1.4910144,0.9296266,0.9233037,-0.15999371,0.44996032,-0.15310897,0.0,0.0,0.0,0.0,1.0,0.0,0
2165,1.064764,0.6923616,0.93772113,0.75203794,-1.0441382,0.24056214,0.11765078,0.37036562,0.3181822,-0.569006,-0.21297175,0.4593316,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,1.0,0.0,0.0,0
2502,-0.9630254,-2.7660441,-0.32982343,0.09595449,-0.02229515,-0.6051297,-0.43941045,-0.46548244,-0.5093812,-0.2922513,-0.32891047,0.9233037,-0.15999371,0.44996032,-0.15310897,1.0,0.0,0.0,0.0,1.0,0.0,0
2171,0.38883418,0.30809432,0.93772113,-1.9816431,-0.5818759,-0.6734531,-0.50271285,-0.8967162,-0.7201757,-1.1515111,-0.9479226,-0.46861258,-0.15999371,0.44996032,4.37861,1.0,0.0,0.0,0.0,0.0,1.0,0
